"Address","Title 1","Occurrences","HTML hreflang 1","HTML hreflang 1 URL","HTTP hreflang 1","HTTP hreflang 1 URL","Sitemap hreflang 1","Sitemap hreflang 1 URL","Indexability","Indexability Status"
"https://eghiseul.ro/","eGhișeul.ro — Documente Online: Cazier, Carte Funciară","0","","","","","","","Indexable",""
"https://eghiseul.ro/calculator/termene-judiciare/","Calculator Termene Judiciare 2026 — Exact, Gratuit, pe Loc | eGhiseul.ro","0","","","","","","","Indexable",""
"https://eghiseul.ro/calculator/dividende/","Calculator Dividende 2026 — Impozit 16% și CASS | eGhiseul.ro","0","","","","","","","Indexable",""
"https://eghiseul.ro/calculator/salariu/","Calculator Salariu Net 2026 — Brut în Net și Invers, Gratuit | eGhiseul.ro","0","","","","","","","Indexable",""
"https://eghiseul.ro/servicii/cazier-fiscal-online/","Cazier Fiscal Online persoană fizică — ANAF, fără SPV | eGhiseul.ro","0","","","","","","","Indexable",""
"https://eghiseul.ro/calculator/estimare-pensie/","Calculator Estimare Pensie 2026 — Puncte și Cuantum | eGhiseul.ro","0","","","","","","","Indexable",""
"https://eghiseul.ro/servicii/","Servicii | Documente online pentru România | eGhiseul.ro","0","","","","","","","Indexable",""
"https://eghiseul.ro/servicii/extras-multilingv-certificat-casatorie/","Extras Multilingv Certificat de Căsătorie 2026 — pentru UE, Fără Traducere | eGhiseul.ro","0","","","","","","","Indexable",""
"https://eghiseul.ro/servicii/extras-de-carte-funciara/","Extras Carte Funciară Online în 5 Minute — Automat, 24/7 | eGhiseul.ro","0","","","","","","","Indexable",""
"https://eghiseul.ro/calculator/credit-ipotecar/","Calculator Credit Ipotecar 2026 — Rata Lunară | eGhiseul.ro","0","","","","","","","Indexable",""
"https://eghiseul.ro/servicii/identificare-imobil/","Număr Cadastral după Adresă — Îl Aflăm Noi | Extras CF | eGhiseul.ro","0","","","","","","","Indexable",""
"https://eghiseul.ro/servicii/certificat-sarcini/","Certificat de Sarcini — Verifică Grevările unui Imobil | OCPI | eGhiseul.ro","0","","","","","","","Indexable",""
"https://eghiseul.ro/servicii/certificat-constatator-online/","Certificat Constatator Online în Câteva Minute — 89 RON (2026) | eGhiseul.ro","0","","","","","","","Indexable",""
"https://eghiseul.ro/termeni-si-conditii/","Termeni și Condiții | eGhiseul.ro","0","","","","","","","Indexable",""
"https://eghiseul.ro/servicii/copie-carte-funciara/","Copie Carte Funciară in extenso (integrală) — OCPI / ANCPI | eGhiseul.ro","0","","","","","","","Indexable",""
"https://eghiseul.ro/servicii/eliberare-certificat-de-casatorie/","Certificat de Căsătorie Online — Duplicat de la Starea Civilă | eGhiseul.ro","0","","","","","","","Indexable",""
"https://eghiseul.ro/politica-de-anulare/","Politica de Anulare și Rambursare | eGhiseul.ro","0","","","","","","","Indexable",""
"https://eghiseul.ro/calculator/impozit-casa/","Calculator Impozit pe Casă (Clădiri) 2026 | eGhiseul.ro","0","","","","","","","Indexable",""
"https://eghiseul.ro/calculator/indemnizatie-somaj/","Calculator Indemnizație de Șomaj 2026 | eGhiseul.ro","0","","","","","","","Indexable",""
"https://eghiseul.ro/gdpr/","GDPR — Protecția Datelor | eGhiseul.ro","0","","","","","","","Indexable",""
