"Address","Content Type","Status Code","Status","Crawl Depth","Inlinks"
"https://g.page/r/CSfYKsVLbx7PEBM/review","application/binary","302","Found","1","1"
"https://share.google/stngA2rQbVPY2l57p","text/html; charset=UTF-8","302","Found","1","104"
"https://wa.me/40757708181?text=Bună%20ziua!%20Am%20o%20întrebare%20despre%20serviciile%20eGhișeul.","text/html; charset=""utf-8""","302","Found","2","68"
"https://www.ancpi.ro/verificare/dc_index.php","","404","Not Found","2","1"
"https://erovinieta.net/embed/verificare-rovinieta","text/html; charset=utf-8","200","OK","2","0"
"https://wa.me/40757708181?text=Bună%20ziua!%20Am%20o%20întrebare%20despre%20certificatul%20de%20urbanism.","text/html; charset=""utf-8""","302","Found","2","1"
"https://wa.me/40757708181","text/html; charset=""utf-8""","302","Found","2","3"
"https://www.dataprotection.ro/","text/html;charset=ISO-8859-1","200","","2","3"
"https://anpc.ro/ce-este-sal/","","0","Connection Refused","2","233"
"https://wa.me/40757708181?text=Bună%20ziua!%20Am%20o%20întrebare%20despre%20Certificatul%20Constatator.","text/html; charset=""utf-8""","302","Found","2","1"
"https://wa.me/40757708181?text=Bună%20ziua!%20Am%20o%20întrebare%20despre%20Extrasul%20de%20Carte%20Funciară.","text/html; charset=""utf-8""","302","Found","2","1"
"https://www.onrc.ro/index.php/ro/informatii/certificate-constatatoare","text/html; charset=utf-8","200","OK","3","1"
"https://if.politiaromana.ro/ro/utile/program-si-documente-eliberari-acte","text/html","500","Internal Server Error","3","2"
"https://hd.politiaromana.ro/ro/utile/documente-eliberari-acte/serviciul-cazier-judiciar-statistica-si-evidente-operative","text/html","500","Internal Server Error","3","2"
"https://ar.politiaromana.ro/ro/utile/documente-eliberari-acte/cazier-judiciar","text/html","500","Internal Server Error","3","2"
"https://mh.politiaromana.ro/ro/utile/documente-eliberari-acte/cazier-judiciar","text/html","500","Internal Server Error","3","2"
"https://bt.politiaromana.ro/ro/informatii-utile/documente-eliberare-acte/eliberare-cazier-judiciar","text/html","500","Internal Server Error","3","2"
"https://dj.politiaromana.ro/ro/utile/cazier-judiciar","text/html","500","Internal Server Error","3","2"
"https://gl.politiaromana.ro/ro/utile/documente-eliber-ri-acte/obtinerea-certificatului-de-cazier-judiciar-si-a-certificatului-de-integritate-comportamentala","text/html","500","Internal Server Error","3","2"
"https://is.politiaromana.ro/ro/utile/documente-eliberari-acte/obtinerea-certificatului-de-cazier-judiciar-si-a-certificatului-de-integritatea-comportamentala","text/html","500","Internal Server Error","3","2"
"https://ph.politiaromana.ro/ro/utile/documente-eliberari-acte/obtinerea-certificatului-de-cazier-judiciar","text/html","500","Internal Server Error","3","2"
"https://cl.politiaromana.ro/ro/utile/eliberari-documente","text/html","500","Internal Server Error","3","2"
"https://ec.europa.eu/consumers/odr","","301","Moved Permanently","2","233"
"https://bc.politiaromana.ro/ro/utile/eliberari-cazier-judiciar","text/html","500","Internal Server Error","3","2"
"https://vn.politiaromana.ro/ro/utile/documente-eliberari-acte/cazier-judiciar","text/html","500","Internal Server Error","3","2"
"https://il.politiaromana.ro/ro/utile/documente-eliberari-acte/obtinerea-certificatului-de-cazier-judiciar-de-integritate-comportamentala","text/html","500","Internal Server Error","3","2"
"https://mm.politiaromana.ro/ro/utile/cazier-judiciar","text/html","500","Internal Server Error","3","2"
"https://db.politiaromana.ro/ro/utile/program-de-lucru-ghisee/eliberare-cazier-judiciar","text/html","500","Internal Server Error","3","2"
"https://sj.politiaromana.ro/ro/utile/acte-necesare-pentru/eliberarea-certificatului-de-cazier-judiciar","text/html","500","Internal Server Error","3","2"
"https://cv.politiaromana.ro/ro/utile/cazier-judiciar","text/html","500","Internal Server Error","3","2"
"https://ag.politiaromana.ro/ro/utile/documente-necesare-eliberarii-de-acte/cazier-judiciar-persoane-fizice-certificate-de-integritate","text/html","500","Internal Server Error","3","2"
"https://gr.politiaromana.ro/ro/utile/documente-eliberari-acte/informatii-utile-cazier-judiciar-certificate-integritate-comportamentala","text/html","500","Internal Server Error","3","2"
"https://vs.politiaromana.ro/ro/utile/documente-eliberari-acte/obtinerea-certificatului-de-cazier-judiciar-si-a-certificatului-pentru-integritate-comportamentala/obtinerea-certificatului-de-cazier-judiciar-persoane-fizice-si-a-extrasului-de-pe-cazierul-judiciar","text/html","500","Internal Server Error","3","2"
"https://ct.politiaromana.ro/ro/utile/documente-eliberari-acte/cazier-judiciar","text/html","500","Internal Server Error","3","2"
"https://bv.politiaromana.ro/ro/informatii-publice/serviciul-cazier-judiciar","text/html","500","Internal Server Error","3","2"
"https://ab.politiaromana.ro/ro/i-p-j-alba/servicii-judetene/serviciul-cazier-judiciar-statistica-si-evidenta-operativa","text/html","500","Internal Server Error","3","2"
"https://gj.politiaromana.ro/ro/utile/documente-eliberari-acte/cazier-judiciar","text/html","500","Internal Server Error","3","2"
"https://hr.politiaromana.ro/ro/utile/documente-eliberari-acte/obtinerea-certificatului-de-cazier-judiciar-de-integritate-comportamentala","text/html","500","Internal Server Error","3","2"
"https://vl.politiaromana.ro/ro/utile/cazier-juridiar","text/html","500","Internal Server Error","3","2"
"https://br.politiaromana.ro/ro/utile/documente-eliberari-acte/obtinerea-certificatului-de-cazier-judiciar-integritate-comportamentala","text/html","500","Internal Server Error","3","2"
"https://bh.politiaromana.ro/ro/utile/program-cu-publicul-acte-necesare/serviciul-cazier-judiciar","text/html","500","Internal Server Error","3","2"
"https://sb.politiaromana.ro/ro/utile/documente-eliberari-acte/cazier-judiciar","text/html","500","Internal Server Error","3","2"
"https://tr.politiaromana.ro/ro/utile/cerere-certificat-cazier-judiciar/obtinerea-certificatului-de-cazier-judiciar-persoane-fizice","text/html","500","Internal Server Error","3","2"
"https://bn.politiaromana.ro/ro/informatii-utile/documente-eliberari-acte/obtinerea-certificatului-de-cazier-judiciar/obtinerea-certificatului-de-cazier-judiciar-persoane-fizice","text/html","500","Internal Server Error","3","2"
"https://tm.politiaromana.ro/ro/utile/documente-eliberari-acte/cazier-judiciar","text/html","500","Internal Server Error","3","2"
"https://cj.politiaromana.ro/ro/obtinere-certificatului-de-cazier-judiciar-persoane-fizice","text/html","500","Internal Server Error","3","2"
"https://sv.politiaromana.ro/ro/utile/documente-eliberate-de-poli-ie/certificat-de-cazier-judiciar","text/html","500","Internal Server Error","3","2"
"https://bz.politiaromana.ro/ro/utile/informatii-cazier","text/html","500","Internal Server Error","3","2"
"https://tl.politiaromana.ro/ro/utile/cazier-judiciar","text/html","500","Internal Server Error","3","2"
"https://sm.politiaromana.ro/ro/utile/program-ghiseu-cazier","text/html","500","Internal Server Error","3","2"
"https://ot.politiaromana.ro/ro/utile/cazier-judiciar","text/html","500","Internal Server Error","3","2"
"https://ms.politiaromana.ro/ro/utile/documente-eliberari-acte/informatii-cazier-judiciar-si-certificate-de-integritate-comportamentala","text/html","500","Internal Server Error","3","2"
"https://www.politiaromana.ro/","text/html; charset=UTF-8","301","Moved Permanently","3","48"
"https://cs.politiaromana.ro/ro/ipj-caras-severin/servicii-judetene/serviciul-cazier-judiciar-si-evidente-operative1456222897","text/html","500","Internal Server Error","3","2"
"https://nt.politiaromana.ro/ro/utile/documente-eliberari-acte","text/html","500","Internal Server Error","3","2"
"https://hub.mai.gov.ro/serviciu/view?id=90","text/html; charset=UTF-8","502","Bad Gateway","3","1"
"https://www.juridice.ro/784317/extrasele-de-carte-funciara-se-pot-elibera-gratuit-prin-platforma-myeterra.html","text/html; charset=UTF-8","200","OK","3","1"
