"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://if.politiaromana.ro/ro/utile/program-si-documente-eliberari-acte","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,212","",""
"https://hd.politiaromana.ro/ro/utile/documente-eliberari-acte/serviciul-cazier-judiciar-statistica-si-evidente-operative","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,379","",""
"https://ar.politiaromana.ro/ro/utile/documente-eliberari-acte/cazier-judiciar","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,227","",""
"https://mh.politiaromana.ro/ro/utile/documente-eliberari-acte/cazier-judiciar","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,241","",""
"https://bt.politiaromana.ro/ro/informatii-utile/documente-eliberare-acte/eliberare-cazier-judiciar","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,249","",""
"https://dj.politiaromana.ro/ro/utile/cazier-judiciar","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,338","",""
"https://gl.politiaromana.ro/ro/utile/documente-eliber-ri-acte/obtinerea-certificatului-de-cazier-judiciar-si-a-certificatului-de-integritate-comportamentala","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,252","",""
"https://is.politiaromana.ro/ro/utile/documente-eliberari-acte/obtinerea-certificatului-de-cazier-judiciar-si-a-certificatului-de-integritatea-comportamentala","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,251","",""
"https://ph.politiaromana.ro/ro/utile/documente-eliberari-acte/obtinerea-certificatului-de-cazier-judiciar","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,155","",""
"https://cl.politiaromana.ro/ro/utile/eliberari-documente","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,254","",""
"https://bc.politiaromana.ro/ro/utile/eliberari-cazier-judiciar","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,237","",""
"https://vn.politiaromana.ro/ro/utile/documente-eliberari-acte/cazier-judiciar","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,372","",""
"https://il.politiaromana.ro/ro/utile/documente-eliberari-acte/obtinerea-certificatului-de-cazier-judiciar-de-integritate-comportamentala","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,181","",""
"https://mm.politiaromana.ro/ro/utile/cazier-judiciar","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,338","",""
"https://db.politiaromana.ro/ro/utile/program-de-lucru-ghisee/eliberare-cazier-judiciar","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,338","",""
"https://sj.politiaromana.ro/ro/utile/acte-necesare-pentru/eliberarea-certificatului-de-cazier-judiciar","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,291","",""
"https://cv.politiaromana.ro/ro/utile/cazier-judiciar","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,190","",""
"https://ag.politiaromana.ro/ro/utile/documente-necesare-eliberarii-de-acte/cazier-judiciar-persoane-fizice-certificate-de-integritate","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,334","",""
"https://gr.politiaromana.ro/ro/utile/documente-eliberari-acte/informatii-utile-cazier-judiciar-certificate-integritate-comportamentala","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,374","",""
"https://vs.politiaromana.ro/ro/utile/documente-eliberari-acte/obtinerea-certificatului-de-cazier-judiciar-si-a-certificatului-pentru-integritate-comportamentala/obtinerea-certificatului-de-cazier-judiciar-persoane-fizice-si-a-extrasului-de-pe-cazierul-judiciar","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,567","",""
"https://ct.politiaromana.ro/ro/utile/documente-eliberari-acte/cazier-judiciar","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,317","",""
"https://bv.politiaromana.ro/ro/informatii-publice/serviciul-cazier-judiciar","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,313","",""
"https://ab.politiaromana.ro/ro/i-p-j-alba/servicii-judetene/serviciul-cazier-judiciar-statistica-si-evidenta-operativa","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,243","",""
"https://gj.politiaromana.ro/ro/utile/documente-eliberari-acte/cazier-judiciar","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,188","",""
"https://hr.politiaromana.ro/ro/utile/documente-eliberari-acte/obtinerea-certificatului-de-cazier-judiciar-de-integritate-comportamentala","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,291","",""
"https://vl.politiaromana.ro/ro/utile/cazier-juridiar","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,374","",""
"https://br.politiaromana.ro/ro/utile/documente-eliberari-acte/obtinerea-certificatului-de-cazier-judiciar-integritate-comportamentala","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,421","",""
"https://bh.politiaromana.ro/ro/utile/program-cu-publicul-acte-necesare/serviciul-cazier-judiciar","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,434","",""
"https://sb.politiaromana.ro/ro/utile/documente-eliberari-acte/cazier-judiciar","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,327","",""
"https://tr.politiaromana.ro/ro/utile/cerere-certificat-cazier-judiciar/obtinerea-certificatului-de-cazier-judiciar-persoane-fizice","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,323","",""
"https://bn.politiaromana.ro/ro/informatii-utile/documente-eliberari-acte/obtinerea-certificatului-de-cazier-judiciar/obtinerea-certificatului-de-cazier-judiciar-persoane-fizice","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,289","",""
"https://tm.politiaromana.ro/ro/utile/documente-eliberari-acte/cazier-judiciar","text/html","500","Internal Server Error","Non-Indexable","Server Error","2","0,190","",""
